OTU.ID	LP_ICE_21_Core1_0.10_cDNA	LP_ICE_21_Core1_0.10_DNA	LP_ICE_21_Core1_10.20_cDNA	LP_ICE_21_Core1_10.20_DNA	LP_ICE_21_Core1_20.30_cDNA	LP_ICE_21_Core1_20.30_DNA	LP_ICE_21_Core1_30.40_cDNA	LP_ICE_21_Core1_30.40_DNA	LP_ICE_21_Core1_40.50_cDNA	LP_ICE_21_Core1_40.50_DNA	LP_ICE_21_Core1_50.60_cDNA	LP_ICE_21_Core1_50.60_DNA	LP_ICE_21_Core1_60.70_cDNA	LP_ICE_21_Core1_60.70_DNA	LP_ICE_21_Core1_70.80_cDNA	LP_ICE_21_Core1_70.80_DNA	LP_ICE_21_Core1_80.90_cDNA	LP_ICE_21_Core1_80.90_DNA	LP_ICE_21_Core1_90.100_cDNA	LP_ICE_21_Core1_90.100_DNA	LP_ICE_21_Core2_0.10_cDNA	LP_ICE_21_Core2_0.10_DNA	LP_ICE_21_Core2_10.20_cDNA	LP_ICE_21_Core2_10.20_DNA	LP_ICE_21_Core2_100.110_cDNA	LP_ICE_21_Core2_100.110_DNA	LP_ICE_21_Core2_20.30_cDNA	LP_ICE_21_Core2_20.30_DNA	LP_ICE_21_Core2_30.40_cDNA	LP_ICE_21_Core2_30.40_DNA	LP_ICE_21_Core2_40.50_cDNA	LP_ICE_21_Core2_40.50_DNA	LP_ICE_21_Core2_50.60_cDNA	LP_ICE_21_Core2_50.60_DNA	LP_ICE_21_Core2_60.70_cDNA	LP_ICE_21_Core2_60.70_DNA	LP_ICE_21_Core2_70.80_cDNA	LP_ICE_21_Core2_70.80_DNA	LP_ICE_21_Core2_80.90_cDNA	LP_ICE_21_Core2_80.90_DNA	LP_ICE_21_Core2_90.100_cDNA	LP_ICE_21_Core2_90.100_DNA	LP_ICE_21_Core3_0.10_cDNA	LP_ICE_21_Core3_0.10_DNA	LP_ICE_21_Core3_10.20_cDNA	LP_ICE_21_Core3_10.20_DNA	LP_ICE_21_Core3_20.30_cDNA	LP_ICE_21_Core3_20.30_DNA	LP_ICE_21_Core3_30.40_cDNA	LP_ICE_21_Core3_30.40_DNA	LP_ICE_21_Core3_40.50_cDNA	LP_ICE_21_Core3_40.50_DNA	LP_ICE_21_Core3_50.60_cDNA	LP_ICE_21_Core3_50.60_DNA	LP_ICE_21_Core3_60.70_cDNA	LP_ICE_21_Core3_60.70_DNA	LP_ICE_21_Core3_70.80_cDNA	LP_ICE_21_Core3_70.80_DNA	LP_ICE_21_Core3_80.90_cDNA	LP_ICE_21_Core3_80.90_DNA	LP_ICE_21_Core3_90.100_cDNA	LP_ICE_21_Core3_90.100_DNA	LP_ICE_21_MoComE_cDNA	LP_ICE_21_MoComE_DNA	LP_ICE_21_NTC.Index_cDNA	LP_ICE_21_NTC.Index_DNA	LP_ICE_21_NTC.TS_cDNA	LP_ICE_21_NTC.TS_DNA	LP_ICE_21_Snow1_cDNA	LP_ICE_21_Snow1_DNA	LP_ICE_21_Snow2_cDNA	LP_ICE_21_Snow2_DNA	LP_ICE_21_Snow3_cDNA	LP_ICE_21_Snow3_DNA	LP_ICE_21_Snow4_cDNA	LP_ICE_21_Snow4_DNA	LP_ICE_21_Snow5_cDNA	LP_ICE_21_Snow5_DNA	LP_ICE_21_Snow6_cDNA	LP_ICE_21_Snow6_DNA	LP_ICE_21_Snow7_cDNA	LP_ICE_21_Snow7_DNA	LP_ICE_21_Water1_cDNA	LP_ICE_21_Water1_DNA	LP_ICE_21_Water2_cDNA	LP_ICE_21_Water2_DNA	LP_ICE_21_Water3_cDNA	LP_ICE_21_Water3_DNA	taxonomy
2358	45864ad0f0ebfc823fa2bf839c0be7ed	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	43	0	0	0	0	81	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2426	5725dabb8403a1775b483b16d61b211f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2512	bf72d418642c92996e692865c7e03a31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2573	65272be3b36c05d827556c14401feee0	5	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	28	0	0	0	101	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(98); Chloroplast_fa(98); Chloroplast_ge(98)
2581	ac01c6e0d26d018b5088549811e9043b	2	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2642	585b7532f838664aa84b6e4521f71c55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	10	0	0	0	20	0	4	0	119	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(87); Chloroplast_fa(87); Chloroplast_ge(87)
2689	093da59d756047b9451efef212f74317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	49	0	0	26	0	0	27	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2742	4e67de29ffef4a5da2803cbc5bf239fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	152	0	39	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(94); Chloroplast_fa(94); Chloroplast_ge(94)
2765	71a24945aac5f8f24c958b43f5aba578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	21	19	32	62	0	0	0	0	0	29	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2773	59a4883ec7bd3debe3959aaa609779be	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(87); Chloroplast_fa(87); Chloroplast_ge(87)
2798	d745399f6ab547f6b204d22ad667640a	35	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(95); Chloroplast_fa(95); Chloroplast_ge(95)
2902	3230e5980dc8722e987fdfe5db661b70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	71	10	17	9	0	0	0	29	17	0	28	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(95); Cyanobacteriia(95); Chloroplast(76); Chloroplast_fa(76); Chloroplast_ge(76)
2938	93ea517719c8927399fe7e2522f52dca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	116	0	0	0	37	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2941	9aa9b180b599fc2822e0be478473ca85	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	81	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2977	a4dadb72431b3378bc055cf19dfc3263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	47	0	37	0	0	0	53	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3087	fcc8273752120d2dc6503688d9986f2e	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3253	3d0b210a7f06703be950adbc24181d0a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	60	61	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3298	0d6678e244422617e3cd3d226386f3c3	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3376	a6a0d6dee3a1d22fc206c016abc970cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3573	6161840fba789f8243b9e81a58eac37a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	64	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3623	42f338dacb861eb1e47ab1f84ab91a1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	41	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3716	9a2e00025226496a75a9071f03a45e8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	30	0	40	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(99); Cyanobacteriia(99); Chloroplast(80); Chloroplast_fa(80); Chloroplast_ge(80)
3754	dd591b0c362246b35cc0e418f05a23e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	13	0	71	0	0	20	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(96); Cyanobacteriia(96); Chloroplast(90); Chloroplast_fa(90); Chloroplast_ge(90)
3791	35c53fafd3d990247edcb0b9a4dcf32c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3793	c5c354cb5d7809fdce8bbde6a3f05a43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
3803	261459ea56a1df36a66cc41a999ad60e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4028	2395ae8688475331aeea6a518f7dc3df	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4036	e3b79cf12796730112494099473f3777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4343	30d09495c12f05b00836e6592a1faf17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	13	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4354	67f90f264f2890203a7bbf5c5ef4c445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4379	ddeb5107dfc278b5ac8fa22683e1c276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4390	a15392e6abd6efb922e527b8c7716b3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4420	ec95297238a399956961972e7c515da3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4467	c801bd0b93f0648520e6bfddeb34c89c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4472	c39b8759827a2d35bc281f09ff86a522	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4514	c96694f0becc79e5c5892cd7ac652513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	5	18	29	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(94); Chloroplast_fa(94); Chloroplast_ge(94)
4519	81da2d6ae2cfd3583343af0d0f8285c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4530	e970f2f5a14a005549529153b70afae7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	16	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(93); Chloroplast_fa(93); Chloroplast_ge(93)
4549	25f12ac9d1b1e7e6c00ecb2b8fffe6ea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4554	bb986be17213b674c376555de70a3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4755	2d23711406885ea0ffa43750ba056406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4768	df5b2ab9d3119acb52373ab064265f79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4769	76aa301c36e7c64b5a49f16ef318c763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4805	40860fde6ed76df953b97acbbae165f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
4846	5ec9b0762148707961137392bba71398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
